"","R3388_YZ_1","R3388_YZ_2","R3388_YZ_3","R3388_YZ_4","R3388_YZ_5","R3388_YZ_6","R3388_YZ_7","R3388_YZ_9","R3388_YZ_10","R3388_YZ_11","R3388_YZ_12","R3388_YZ_13","R3388_YZ_14","R3388_YZ_15","R3388_YZ_16","R3388_YZ_17","R3388_YZ_19","R3388_YZ_20","R3388_YZ_21","R3388_YZ_23","R3388_YZ_24","R3388_YZ_25","R3388_YZ_26","R3388_YZ_27","R3388_YZ_28","R3388_YZ_29","R3388_YZ_30","R3388_YZ_31","R3388_YZ_32","R3388_YZ_33","R3388_YZ_34","R3388_YZ_35","R3388_YZ_36","R3388_YZ_37","R3388_YZ_38","R3388_YZ_39","R3388_YZ_40","R3388_YZ_41","R3388_YZ_42","R3388_YZ_43","R3388_YZ_44","R3388_YZ_47","R3388_YZ_48","R3388_YZ_49","R3388_YZ_50","R3388_YZ_51","R3388_YZ_52","R3388_YZ_54","R3388_YZ_55","R3388_YZ_57","R3388_YZ_58","R3388_YZ_60","R3388_YZ_61","R3388_YZ_62","R4163_YZ_1","R4163_YZ_2","R4163_YZ_3","R4163_YZ_5","R4163_YZ_7","R4163_YZ_8","R4163_YZ_9","R4163_YZ_16","R4163_YZ_17","R4163_YZ_18","R4163_YZ_19","R4163_YZ_20","R4163_YZ_21","R4163_YZ_22","R4163_YZ_23","R4163_YZ_25","R4163_YZ_26","R4163_YZ_28"
"Homo sapiens: A tetrasaccharide linker sequence is required for GAG synthesis",-0.485441179842549,0.281271796879066,-0.309885414502554,-0.133811849847123,-0.197563444756599,-0.212491601147283,0.0242953041511234,0.234146226073761,-0.397782512669727,-0.159622441397325,0.515391302558878,-0.363537480535227,0.120658473354952,0.323749646748389,-0.437224376891712,-0.215068920679321,0.0545179621469157,0.419280257315332,-0.0157188926190329,0.183474010426767,-0.0864042872262862,-0.476872808850159,-0.154665594855453,-0.182520615259356,0.372270508608165,-0.296882198405359,0.317351098711074,0.0773948019543282,-0.280237428156318,0.0278082234679485,-0.28029541931323,-0.186221925351886,0.09851748417097,0.426633532763205,-0.490113550860577,-0.110516837220517,-0.144876830678503,-0.488056139847997,-0.469861834451006,-0.415928270281651,0.438756287368759,0.424080533431521,-0.0933472165131192,-0.0251013189266149,-0.21101831038634,0.0375664106032019,0.427825515038293,0.0575990507025415,0.447033080351318,0.354812929569089,-0.0992984378227751,-0.192207776047717,0.187159965692769,0.00143483358749386,-0.208720441719762,-0.343095342014596,-0.26329416544423,-0.385490907756832,0.0304180454145073,-0.199460260517942,-0.00294579236978651,0.251579190983852,-0.34960396002202,0.129553866710186,0.415206060136276,0.180908492400563,0.190805534266166,0.114601109913872,-0.211122771510964,0.415247955673811,0.256126082652507,-0.122162287808292
"Homo sapiens: ABC transporter disorders",-0.452804855611773,-0.167424082429709,-0.0985647600194905,0.341621538565269,0.211744422889948,-0.25128760440492,0.44717565819134,0.549875398314338,-0.525316276761652,-0.00270919335146244,0.0454764093143769,0.481535767749834,-0.138437207978057,-0.0993570518211461,-0.388944581668148,-0.576839835150177,0.378262910126558,0.417922698710253,-0.203304517649715,0.0442376122454378,-0.116037621121468,-0.131404983686011,0.064933175375788,0.197066320415177,0.498699732268888,0.0651816599257464,0.466351438626501,-0.494108202821965,-0.3279585012013,-0.546059241676234,-0.35703148605911,-0.395663375710817,-0.405774363104175,0.117214106465232,0.3163064456771,0.365757719022817,0.494196955562933,-0.344063233076826,0.181065837467966,-0.273327224839031,0.234146518614623,-0.274649911418927,0.240145693818173,0.171812188448745,-0.437967437250511,0.363007264871175,-0.250318544225439,-0.169142954934978,0.221971117250856,0.268412593292887,-0.24907111268962,-0.492003577931377,-0.36533227325783,-0.406186199548204,0.24645527863666,-0.147182382312013,0.433112448129516,0.0127016699962369,0.0473601015222768,0.109247028247284,0.130992560299253,-0.0273563078409586,0.260313267062072,-0.270860677896483,-0.322293713697221,-0.0473913653850674,0.155830218939991,-0.200808015691935,-0.189547466377368,0.0305776000313984,-0.382185247110696,0.250515159167055
"Homo sapiens: ABC transporters in lipid homeostasis",0.386599675606128,0.500532581774167,0.215312221357293,-0.18675102168258,-0.207053370409783,-0.161269380980208,0.174378690967377,-0.0071004500591427,0.453354365321081,-0.0916360384332562,-0.339971732211478,0.0287165885767119,0.102029721961936,-0.23236812463667,0.127255601531241,-0.386107325419635,-0.0738867074325957,-0.323376170397731,0.139423663236491,-0.0309358302477695,0.329603666949109,0.218369725229762,-0.156626978975017,-0.0265196316198147,-0.022133686258732,0.268659743238307,-0.436754618118349,-0.159448388636496,0.310133574300932,-0.265096631694147,-0.00582454666328999,0.0871240830951806,-0.275471559501941,0.343915053970361,0.263327161237047,-0.00151312459373498,-0.467698673986797,0.15438441248797,-0.351531329198472,0.221773833557422,-0.143336577059038,-0.155249277266305,-0.305821358481636,-0.0758314254739367,0.290562855815628,-0.0498749921140847,0.132062739434148,-0.0580985118582888,-0.297634879910036,-0.228124182148606,-0.268102720995714,0.0678626030998588,-0.390556879900326,0.438518668050516,-0.102315477221484,-0.168563550622377,-0.150971073816321,0.0888518287108839,0.029375925168865,0.0641662975115421,-0.273328416421522,-0.283252848078628,0.129925483088298,0.237998048031345,-0.148034212488433,-0.50259155598746,0.0980405297361684,0.0660833750112707,0.139184272327992,0.282109066133701,0.339947385952177,-0.31663464625783
"Homo sapiens: ABC-family proteins mediated transport",-0.300953467230747,-0.123918468926343,-0.027545976060207,0.310117052861529,0.15886159645871,-0.251247546321178,0.322956904403887,0.48864441195938,-0.415333715324711,-0.058269242566893,0.0224274648594662,0.443686662826055,-0.075447124010937,-0.0380115313408667,-0.31712133446193,-0.505760327971355,0.257457476298478,0.313700505483817,-0.0720866544394109,0.0474339165939674,-0.0860574207791529,-0.0791211265212344,-0.00169219537712484,0.143652187486745,0.446140935662143,0.0674006863211166,0.364885346439804,-0.446701796523495,-0.239967473527636,-0.499455898211796,-0.285644464669879,-0.294235663076459,-0.364864536368609,0.172896707314529,0.200404254601466,0.303180179667215,0.336664171991352,-0.304709321589038,0.139197171369808,-0.260308254977219,0.14594690334653,-0.205408505539208,0.12364855186744,0.144679915989686,-0.380587233459632,0.325562495705391,-0.227762539459767,-0.16844692671719,0.154505318188582,0.163669212520054,-0.245917700075596,-0.37571608591485,-0.331323909736832,-0.364742309091237,0.164053366463676,-0.0922743499836095,0.322033212582833,0.0495256208209718,-0.0404243319352953,0.11415636850039,0.0713214932761201,-0.0660566626589348,0.238370510866469,-0.183509756933857,-0.325435950736723,-0.210416176948746,0.0740180901479149,-0.175348920115893,-0.172525627058958,0.0993137941484849,-0.300366556212105,0.15232546429793
"Homo sapiens: Aberrant regulation of mitotic cell cycle due to RB1 defects",-0.207253669252381,-0.2458808489777,0.182698581688271,-0.1904747889229,-0.199777166253399,-0.0481839016128537,0.144186414424553,0.388967447786361,-0.502549175041226,-0.175246352993269,-0.165025338137529,0.0748677733744708,0.0442322558492452,-0.36624164975927,-0.191862167727455,-0.420138611902416,0.121123524163255,0.308506712135441,-0.433113620513537,-0.297923801420634,-0.244705379501236,0.17639804484082,0.212863276402779,0.0766831063229761,0.409115678020482,-0.112670195348774,0.511300722062173,-0.210156849793002,-0.42429031524991,-0.440578546754703,-0.396583899872913,0.123132750211395,-0.25068750933666,0.212753732665809,-0.0454168495804034,-0.0399694445031948,0.197282881988947,-0.0887662626803712,0.0848934082008181,-0.354863287554577,0.227461136877522,0.0469447252624989,0.439586311217644,0.185360186246323,-0.415367987346948,0.396472260934414,-0.285223875914382,-0.0327133682329549,0.31222745355363,-0.248720122658013,0.12910867949804,-0.215972664956438,0.0106191133019538,-0.266592013032675,-0.371017062843198,0.243887989665489,0.436097659133677,0.138051470485552,-0.0482547046480525,0.293501390288246,-0.250318254500897,-0.0735055627583212,-0.00317166490793605,-0.164982125546541,0.113520328139597,-0.211474957477975,0.227246150401089,-0.0871375718458906,-0.0397879662646835,0.155286368052547,-0.143590717712695,0.347405071199926
"Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects",0.035198314301671,-0.151230485719626,0.227000838985663,-0.332105771830222,0.0649657634724535,0.193836029048091,0.269366488271593,0.43402522034038,-0.48309046113661,-0.252360101114409,-0.416970930522381,0.233626804919078,0.0775984637927922,0.018286798031838,0.00736381242040607,-0.367333861009417,-0.0259677854294125,0.172867621338903,-0.538342507669998,-0.465718007457365,-0.341930864695306,0.0944164963847101,0.389596544520595,0.170463637560313,0.430151085296236,-0.0832095928480547,0.496215527303414,-0.14935895433006,-0.536844837705341,-0.470670274309071,-0.425198348016813,0.161080667394912,-0.0340515487169767,0.198796722428513,0.0478628257736005,-0.0279365825480547,0.21793292155406,0.0591811236714367,0.375202917301025,-0.305881237739213,0.25655150031766,-0.417477623289897,0.432049194401478,0.131582599004013,-0.441963835195601,0.257262684087711,-0.518586520738959,-5.21689690398675e-05,0.00277164672022356,-0.209744933751153,0.324404418292908,-0.109328691843857,0.180908873653803,-0.283984020543109,-0.359902377465732,0.114644930699352,0.506202289037702,0.311217888876163,-0.15088877084909,0.227456157879181,0.00701654108851821,0.24022444264138,0.0548910947019205,-0.156959587634276,0.0442092739284414,-0.327818260136083,-0.0842164301625322,-0.379440403326235,-0.0638298861270963,-0.242581609018198,-0.136284222647273,0.423813758147861
"Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",-0.420587218900943,-0.260443044736514,0.135289495737713,-0.0147042471960143,-0.344365621039861,-0.397061036311548,0.137715980328005,0.359076797290671,-0.56418481088598,-0.122679268694211,0.243451065569782,-0.139026999254186,-0.0616574172616298,-0.561410330839191,-0.351420180824291,-0.498529422465742,0.248864832035679,0.370658889826161,-0.330697254906142,-0.0458561849784452,-0.0766710481387805,0.349536697660387,-0.00592130628230497,0.0266541951270543,0.394278291957596,-0.243112486853243,0.61974700244799,-0.260699343925379,-0.254062494073237,-0.364185449994581,-0.43556772242993,0.145955135853967,-0.32254387068068,0.213774682305738,-0.0217324091870916,0.0165766211864507,0.101352736189507,-0.211388362124656,-0.417944145481718,-0.370552063236924,0.187429762372397,0.356136555919607,0.412848024934238,0.117857002893527,-0.423205573566797,0.555992559175373,0.0808108569900993,-0.00400444466847444,0.492624863629914,-0.290527029550385,-0.0704269394129549,-0.389018239152727,-0.168714330259527,-0.20481634758773,-0.452463734365827,0.265522214932974,0.364953851289533,-0.166799565139888,0.146785412932528,0.404274204705655,-0.523538999899262,-0.400794421240541,-0.0985609747923981,-0.263858209312296,0.150561831583557,-0.0105547366131763,0.496040365700654,0.201348764665961,0.00378266806717692,0.47076315993329,-0.0755314084581397,0.301773113210238
"Homo sapiens: Abortive elongation of HIV-1 transcript in the absence of Tat",-0.429935691925537,-0.434517847143897,-0.492990849418089,0.40942566082788,0.232187386596767,0.329521643811398,0.105306773667297,0.2993864446775,-0.479080402102224,-0.08739121581504,0.156201968518244,0.218791071346828,0.132122399814803,-0.20446019149137,-0.414822744588868,-0.426619126425254,0.565697675355071,0.500941275398124,-0.0770443553010597,0.417918198040637,-0.119716930219016,-0.604732328397484,-0.377525454975137,-0.0654139688117181,0.662305884867165,-0.282538816700155,0.110367475667599,-0.416335724354069,-0.428298829036991,-0.331871079171784,-0.5119762919052,-0.396587412135019,0.189155139148695,-0.205614201145768,-0.422117632944912,-0.107023950730312,0.601405758252728,-0.325634818481946,-0.265902630657843,-0.575157354833948,0.544022120806568,-0.0990529201036,-0.0460363630340625,-0.00643230431176106,0.0432148262975819,0.613685518449198,-0.00780907786300788,-0.209021436001263,0.549866299789226,0.474944297194299,0.112248938841821,-0.633313206995617,-0.280842617324901,-0.398708894836988,0.082528199993762,0.0615522791191402,0.586072944770034,0.25029284989788,0.0834249801426416,0.529270857533765,-0.343226507695962,-0.27495010749321,0.332684637374471,-0.286911270238755,-0.20627317539976,-0.0137205636246578,-0.333701905775143,-0.0887537284182224,-0.414775156465055,-0.233613896227515,-0.43436304143272,0.596451051844202
"Homo sapiens: Acetylcholine binding and downstream events",-0.257875173102733,0.0207812071019597,-0.22991057763157,0.0749497521484776,0.441736535384418,-0.0377781578536815,-0.199182778412474,0.180492632623626,-0.0590733171869511,0.219114247189498,-0.179889887128632,-0.15369047329664,-0.125428282664415,-0.147446883605156,-0.0785349099375112,0.140804830214696,0.45523304753213,-0.0155267135484883,0.072983396030686,0.347669883974797,-0.168859559326688,0.0218227285853953,-0.046068847470509,-0.177944590257017,0.431196630791162,0.240884359837695,-0.146904525206699,-0.0859683728646826,0.326112149757965,-0.119924037311002,0.0651130081179456,-0.216244459262527,-0.186328137002995,0.275138436901063,-0.296947569741579,-0.307453635862496,0.498605697191114,-0.0654647809747354,-0.332908914391888,0.401404850027711,0.321852918883735,-0.469800195233402,-0.277019996767821,0.407987994764403,0.372597956049097,-0.0737329818381581,0.349765037204801,-0.497350532895456,0.48752798318589,-0.594114520816687,-0.272906443685926,-0.537408209216625,-0.171106065380842,-0.365703044271898,-0.415494667133558,0.365863238269756,0.189666831211203,0.126444016162769,-0.0761509765866216,0.343656532205957,-0.0253229446349311,-0.363877114682898,0.308885386166996,-0.277770813149762,-0.0780109509501911,-0.125743768608813,0.166741176606067,-0.137078576059322,0.380291313233798,0.477866657841564,-0.372201407598899,-0.288572164667947
"Homo sapiens: Acetylcholine Neurotransmitter Release Cycle",0.207474347746651,-0.0406517713681588,-0.31403194961594,-0.164524255762573,-0.308856626097887,0.392828371725534,-0.327389535919777,-0.118581240005905,0.0826666761769067,0.0557804395338953,0.507489618962269,-0.150609503623841,0.207463648256677,-0.0618863163421853,-0.396780993321902,0.215601830399505,0.322801511255397,0.0330628586776556,0.243477796305775,0.48829331634455,0.182367474976931,-0.398051369454045,-0.366520378336419,-0.0326717595592491,0.236235408475621,-0.526910138360279,-0.526625249370263,0.336835427607399,0.0730960860507034,0.457114052107853,-0.160924024450792,-0.325876052759934,0.130566690852848,-0.214471626040902,-0.496356756490814,-0.424612667085507,0.00422965412636289,-0.328075569178318,-0.282274812047573,0.0535832933110744,0.369365507225978,0.188962727803901,-0.282004582270313,-0.0380001317717782,-0.226561414692513,0.171415869360013,0.281695438507247,-0.190679220336975,0.170216624241176,0.410426765000925,0.288234034600594,0.226768897510411,0.0558469499334514,-0.0568774658180607,-0.355822246791829,-0.295834833452469,-0.183674572967958,-0.239655422267162,-0.0609332134143941,0.192643709269883,-0.0417086326895826,-0.0173148438616344,-0.246196848752134,-0.117249254198565,0.288661057326462,0.037525526523437,-0.244487067158074,-0.119848277045037,-0.427816098521286,0.0343622656585619,0.128037001738585,0.34048244344849
