"","LP.01.04","LP.01.12","LP.01.14","LP.01.15","LP.01.17","LP.01.18","LP.01.20","LP.01.22","LP.01.25","LP.01.28","LP.01.29","LP.01.31","LP.01.37","LP.01.38","LP.01.40","LP.01.43","LP.01.45","LP.01.47","LP.01.48","LP.01.52","LP.01.57","LP.01.61","LP.01.63","LP.01.64","LP.01.66","LP.01.70","LP.01.72","Test.FFPE.01","Test.FFPE.02","Test.FFPE.04","Test.FFPE.05","Test.FFPE.06","Test.FFPE.07","IP.108b","IP.115b","IP.124b","IP.127","IP.138b","IP.140b","IP.148","IP.197","IP.214","IP.28","IP.31b","IP.36","IP.38b","IP.52","IP.57","IP.58b","IP.67b","IP.73","IP.82b"
"Homo sapiens: A tetrasaccharide linker sequence is required for GAG synthesis",0.0749267705422792,-0.252047724167767,0.179449160421106,-0.366823762155499,0.0900709884949636,0.33138682766405,0.231581055542826,-0.363768085540735,0.207439542801449,0.0272519883146485,0.110564760564013,0.0358041677370056,0.299750935622022,-0.213243906799792,0.0245858105919426,0.204770502996366,-0.247197157119368,-0.202760315346042,-0.100406672886625,0.425440498548703,0.187085855769727,-0.0587260385013588,0.167791095933067,-0.193833236851789,0.134791564373393,0.319823707899625,-0.26271420841641,-0.0943905791741882,-0.112022844165024,0.242142340262241,-0.122403192716621,0.109631289515077,-0.0617532720066637,0.114338503608556,-0.47368013728115,0.244769923315713,-0.293567008477344,0.323838874856188,0.483946973855113,0.0170751299686771,-0.442279616847941,-0.417367623503699,-0.135632895781017,-0.104303382544356,-0.0802003342525393,-0.426301335209658,0.241213027042967,-0.170195910505048,0.535799765908172,-0.171139132144802,0.0705318196684795,0.19691841119946
"Homo sapiens: ABC transporter disorders",0.276194341358057,-0.32477836146238,-0.339007835515718,-0.0317548350054397,-0.417135455826295,0.517192396010467,-0.11559280097443,0.378327971870623,-0.0559158986321474,-0.376314177404393,-0.305168722864629,0.201557814289387,0.115387190871141,0.0303242836868221,0.443720207623976,0.159160973090192,-0.20390796173634,-0.501276016966371,0.237428330430095,-0.540093265783592,-0.121059246876363,-0.349185048516527,0.396963134532573,0.310404851243822,-0.190202765228929,0.358881710949745,0.384171340194987,-0.0404733545732567,0.0573278007958105,-0.370388757874247,-0.111843117964655,0.187418245048692,0.22599743959462,-0.343835977309201,0.279856056699385,-0.393012391172771,-0.216950158273567,-0.485954240396302,-0.360795756638166,0.215113880582777,0.326991446868702,0.183571353052311,0.233606246777114,-0.317693346095888,0.054531659493678,0.378263933878288,0.179841850063671,0.0947135360251424,0.0619524827804379,0.225962274227759,0.190194707495701,-0.24361114819959
"Homo sapiens: ABC transporters in lipid homeostasis",-0.218698103454746,0.315686079843091,0.0629322406894595,-0.279107841961172,0.305600622209159,-0.206166606432455,0.251499234718776,-0.229107353498686,0.243385559903887,0.225615674417011,0.0722418368315976,-0.0918461826660636,-0.143315457743301,-0.320901588146775,-0.288563560290191,0.198509351940817,0.373156903969416,-0.391562432878799,-0.524076000336998,0.424211889609991,0.142410886215737,0.0951763823153658,0.31188075929057,-0.400069369793054,0.318477356659558,0.170459609578674,-0.0260753361895943,-0.0161226816980496,-0.0422723384569059,0.359898016935008,-0.167468675824176,0.159884314097969,-0.303270437653592,0.280602112979105,-0.20538120766156,0.387417943374243,-0.229662679752903,0.423642063912118,0.08082764407866,0.0235746606609505,-0.233741167476465,0.236231955794524,-0.410266300966652,-0.0460546582743032,0.31541955288208,-0.450070333177186,0.436902740756707,-0.445052463130283,0.132741831702236,-0.203465121750874,-0.432574555099529,-0.229275916530015
"Homo sapiens: ABC-family proteins mediated transport",0.210689578489033,-0.271317148013152,-0.290792704363806,-0.111131179517552,-0.269906941511774,0.443319086231133,-0.129473774580316,0.327256533357055,0.00199617370099092,-0.327383758047125,-0.15881276072112,0.167412973117924,-0.0664609821688857,0.129540714871277,0.343904095242752,0.163077509091779,-0.108947912047596,-0.430603402286673,0.1232609493422,-0.454960704300394,-0.131472546625683,-0.277620292373221,0.369264797466704,0.173595332450218,-0.0908706613259235,0.328246579154994,0.308345013351888,0.049514509048605,-0.000575406304885562,-0.252636783402684,-0.13100936052369,0.135939387644799,0.0929158324755611,-0.227940844047765,0.237275964291184,-0.296459084639284,-0.289213255806,-0.382120088698534,-0.330767547676153,0.148704012823645,0.272765379284984,0.166199276162406,0.0557782330053526,-0.256314753207842,0.0628470411985999,0.297959182619148,0.281129090404701,0.129763077947108,0.112067039804706,0.0590605856753241,0.167707010730866,-0.198723632119461
"Homo sapiens: Aberrant regulation of mitotic cell cycle due to RB1 defects",-0.22483172361974,-0.240842355870247,-0.107223560901924,0.13854241517639,-0.26166272827405,0.413881945854047,-0.307245795491493,0.0856322024681583,0.235146655784818,-0.385455312591053,-0.00521398069993062,0.00918190037533886,-0.238919979613594,0.380080899829221,0.387772958028339,0.0866074725689051,-0.0956727773612988,-0.515988504721823,0.318296985963278,-0.534997873125821,-0.215154887057463,0.116095105629638,0.185620208214828,0.229007803410372,-0.315804286328088,0.203346197558655,0.38826065234612,0.177558403731732,-0.124537918743887,-0.260177192651019,0.0192378274721454,-0.268633272922208,0.37710036833436,-0.37234014620451,0.151540904740081,-0.300846602048629,0.0607112332178654,-0.526378326009666,-0.50406242275786,-0.00947304304167082,0.465127840349679,0.235411423460414,0.337506011912974,-0.0943795499854599,0.0705242218055553,0.509677417911688,-0.062110328718169,0.143793542661103,-0.135481485619827,-0.157934407329697,-0.0271382551600551,-0.147679569970798
"Homo sapiens: Aberrant regulation of mitotic exit in cancer due to RB1 defects",-0.168082676703897,-0.237782187824714,0.0324155984601197,-0.17291718317128,-0.327701537255011,0.531968269674184,-0.228373129083632,0.142212252051422,0.103383026723404,-0.347851256809805,-0.299694704821665,-0.0384724940928424,-0.302639550553853,0.394367862614708,0.432141706367562,0.180575000813918,-0.297495024127427,-0.333935653270762,0.426398356169057,-0.507230519800689,-0.40811298565741,-0.0223164374159554,0.0983472499138183,0.249277377019741,-0.298669351879265,-0.0539312967900873,0.437850395114512,0.398328942663322,-0.191979637459459,-0.178290526155187,-0.0810371023753985,-0.168082331569133,0.316481936057089,-0.216473183457139,0.291878262825926,-0.314335636301057,-0.0498084656917454,-0.590346159261648,-0.552238634553547,0.205643720724726,0.492440962895948,0.440157066926677,0.384119128290834,-0.033644244801211,0.00300759754678195,0.571371752842556,0.0461551987141198,0.0315658429933251,-0.360916260727077,-0.0868562510155017,0.148297723695881,-0.290666086260013
"Homo sapiens: Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects",-0.364376075637695,-0.18347781805883,-0.185640842296251,0.419407151923826,-0.114753300255209,0.302026902638398,-0.420766424177942,-0.0449589680382247,0.369447390469843,-0.351594852413467,0.268686677585208,0.141670712625512,-0.210799102254621,0.303988508891156,0.340545241891142,0.0447546517808792,0.000541020261038722,-0.650761894009883,0.0321925060948047,-0.554193676296588,-0.107440384475886,0.249465550811381,0.250569526239517,0.224614518307021,-0.18331240144181,0.279954968266503,0.315622390631372,-0.033750943267634,-0.0480272249815782,-0.224776571646216,0.256960967624342,-0.26104503830579,0.459207805381929,-0.442242520897865,-0.153321312696615,-0.204583052328498,0.0630232356484479,-0.464646539906491,-0.518676466004981,-0.263710088071019,0.399357431145262,0.00631345349866941,0.268336627706993,-0.106145923931946,0.208800691926095,0.461013522865107,-0.178789574894111,0.192390244724123,0.285744824172173,-0.199059020356878,-0.125520698627459,0.150363796181847
"Homo sapiens: Abortive elongation of HIV-1 transcript in the absence of Tat",0.115076665337944,-0.438336282315562,-0.361124014309408,0.138899694230677,-0.259376355645904,0.31228251092297,-0.173499927339531,0.112597244888509,0.10945296193409,-0.330752396780629,-0.18000347009903,-0.0347327255046315,0.241705947199491,0.479411873198066,0.381062972295536,-0.0599371393879762,-0.365295129269562,-0.542103444869398,0.567806355385802,-0.533943283205122,-0.454131242233353,-0.27510352187562,0.4896518485864,-0.150886538586201,-0.473948108452558,0.510735058165173,0.324713084195677,0.37681999354767,-0.126437833157579,-0.263713813404416,-0.212585063157868,-0.413426517449264,0.387693985287819,-0.526301711227476,0.0144394009809855,-0.394555913598458,-0.605333731188971,-0.117296720123413,-0.0531937912585796,0.0912476599462164,0.363946316798934,-0.260510565770015,0.0433364531369761,-0.518110810837492,0.301459799202049,0.159313987578955,0.385867161108309,0.296795926087084,0.211126901340213,0.545909486405767,0.384514319864727,-0.119817212735531
"Homo sapiens: Acetylcholine binding and downstream events",0.16403676512129,-0.4656998422695,0.179964838980726,-0.394179531231511,0.0513523376918853,-0.265466498165658,0.235138765202987,0.107855674021393,-0.290332009966397,0.000417771609552087,0.364974494400126,0.0718861057677602,0.240466806498318,-0.0446318119670351,-0.405893376938053,0.320163464218935,-0.104466436617092,-0.475212895257415,0.191869678421636,0.304141719627851,-0.0501829163064826,0.314417476061227,0.125283162951613,-0.360872788923022,0.3266171105861,-0.188165357945894,0.260350834823644,0.0846296997461759,0.245858729751703,0.242580406450851,0.229618451638801,0.175051718603258,-0.143278966696154,-0.0167416165438349,0.0521189991090202,-0.00389964471847842,0.069115252800962,0.0145805490046135,0.242796757312297,-0.140381157845677,-0.513239140193534,-0.103160232269045,0.638563522025971,-0.273620622258467,0.440637413870905,-0.410648474830554,-0.396162676202571,0.319039556278301,-0.207004055175883,-0.306601481981189,-0.455802691104088,0.176693227853494
"Homo sapiens: Acetylcholine Neurotransmitter Release Cycle",0.371623545034522,-0.00196548459953044,0.209741702129264,-0.563872455409087,-0.246206375363315,0.350856809304097,0.526746053321983,-0.238480260080378,0.0661737141814099,-0.085460799237148,0.177034950543407,0.023719474575549,-0.15778442425111,-0.0514138797803198,-0.00979887079090641,-0.231690134311688,0.102456842570745,0.0530156161576191,-0.335690855703453,0.358384917089096,0.375527565246057,-0.00414487527737423,-0.30101572854008,0.133805739110742,0.12531382636623,0.248991149206007,-0.538639429243319,0.361447548028119,-0.0888549351799825,0.476343463169487,-0.282415544124232,-0.030247473249484,0.122952171588752,0.00573514741051712,-0.418226384026887,-0.398451817369189,-0.16236461251024,0.313163178477811,0.189303360836478,0.0969509522311615,-0.471537979968166,0.432029733722471,0.185867588426376,-0.0925219910434809,0.301769967420169,-0.236102969182366,-0.177832615703766,-0.262013945241,0.054838843361029,-0.377723541237609,-0.370653224776578,0.616719849629674
"Homo sapiens: Activated NOTCH1 Transmits Signal to the Nucleus",0.338450339816065,0.222185326173604,-0.264283684415946,-0.248972067246837,-0.188645680382026,-0.0632237422172581,0.105477819548741,-0.0230706300416893,-0.0391330917314085,0.118995932539014,0.0981011513228165,0.179272408063991,0.175544207183302,-0.141910896996862,0.0071202695211201,-0.0235577664619535,0.0144045083967696,-0.382843521278441,0.0654836178180894,0.0388912966662885,0.320229371871349,-0.220502847629585,0.218417525949765,-0.0743403127956785,-0.282967349153029,0.144338463385841,0.258980374454248,0.24945584045995,0.112676651253053,0.145946880832344,-0.000796205873417111,-0.0965333948376879,-0.318472633380078,-0.0152018602676764,-0.0413046212721513,-0.0587761668919929,-0.429099506713623,0.179030237575803,0.100034308316286,-0.180086454545431,-0.203781057080337,0.200843603035481,-0.184423784114866,-0.214640933078553,-0.081102212909873,0.0464621680986518,0.192304796053516,-0.262009746817767,0.327461392513362,-0.315613150789379,-0.0623033951570916,0.130964179934833
"Homo sapiens: Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",-0.178694048684928,-0.528694340923413,-0.402735703915317,0.333938557074739,0.0061204238936763,0.539903908221169,-0.0281444241151457,-0.512658478844418,0.394634316926008,-0.557447332431273,0.291584977411423,-0.570618732982497,0.0536046176707359,0.560389721678187,0.666608029603085,0.301547388540738,-0.271573929232941,-0.612250852542658,0.0313997711467412,-0.654577082769994,-0.424618734507186,0.661417643801877,0.279815627430969,-0.300636742580944,-0.281759152257552,0.218460319532597,0.671237121919551,0.540352498077393,0.374321994750938,-0.500173021369033,-0.335020735036767,-0.416470188503013,0.335008490315536,-0.346436509542341,-0.135637470310204,-0.523944024109298,-0.389129027006587,-0.331584379047514,-0.235556649022316,-0.0853696632050448,0.0854150512045928,-0.1005966388636,-0.125673004209695,-0.578146758608619,-0.154529148098694,0.426597707649485,0.426248371679919,0.224259981157512,0.49067325209056,0.454644527672349,0.2848960437605,0.210962855446081
"Homo sapiens: Activated point mutants of FGFR2",-0.0907869427919356,0.00246693797187061,0.208766453533129,0.0325061110883582,0.38944699622601,-0.313512381372812,0.418962944913084,-0.324369362390606,-0.113323566005189,-0.225857318661666,-0.185348564772813,0.00461286890921631,-0.185546115192148,0.166945674594307,-0.11487363454099,0.00519335208415633,-0.302725136883006,0.128537926258786,0.195760772301809,0.168614518399096,0.176491133133865,0.112325998940301,-0.19909396229101,-0.00217206517455812,0.384543526228173,0.464525924610314,-0.210378547261706,0.116384956457022,-0.105791626420391,0.20725924861348,0.0965972919885808,0.032009800065807,-0.256369494010464,-0.255062057846257,-0.386087701007402,0.426053326508148,0.348985348438698,-0.198423810627439,-0.110551308673398,-0.398578115922671,-0.264224543322301,-0.122245612459897,-0.500218938378644,0.209071382922964,-0.376483294616811,-0.0900116756742297,-0.222718018969593,-0.00663256952635494,-0.310169669258895,-0.0402536965859743,0.223045360176472,0.353523929597755
"Homo sapiens: activated TAK1 mediates p38 MAPK activation",0.114358493357417,-0.233167464711367,-0.0937770849688825,-0.168859994331676,-0.173808993503204,0.400039004330881,-0.292344778191481,-0.00744098554376399,0.352574384191842,0.00610388042198942,-0.379619208543691,0.0301236541674799,0.0888883196464366,-0.106189647600099,0.525614118171046,0.359586502196618,-0.361031403722742,-0.413625696985355,0.327704318721497,-0.228420480893178,0.311746394332287,-0.345335257909505,0.419110567321107,-0.0322532545920448,0.0885033075200684,-0.107065732713846,0.0728156447997539,-0.151433829184978,-0.0351074532142699,-0.283900502855929,0.380920521947086,-0.336005344743057,0.328471468995489,0.157630333015482,0.215074781076938,0.099099391768753,-0.241742864047692,-0.0432422543944887,-0.0676816192292782,0.0140610899341336,-0.0476185503297118,-0.267160811991936,0.100400973426264,0.000115670786686395,-0.0673963638028474,-0.221783594052502,0.356933926777825,0.211297151123312,0.18601195962627,0.103824927335685,0.100518673422285,-0.424045250864199
"Homo sapiens: Activation of AMPK downstream of NMDARs",0.277057794195517,-0.0245938401496113,-0.230299009962193,-0.343049143207746,-0.239089155919434,0.0704377922922022,0.271232748001289,-0.257594517660391,-0.222984162590729,-0.0356629114488438,0.0353672667695664,-0.0210746010102391,-0.137891254032131,0.15297173740607,0.336208942353726,0.140554291525463,0.270878934270906,-0.513791504395708,0.441817469919658,-0.17009226792689,-0.385364803987236,0.0299876779414044,0.146489563984757,0.192369599730443,-0.263376936863413,0.353744162102687,0.0892908244604109,-0.0420042730968338,0.0690080117880532,0.0494604771805427,-0.218195472424961,0.0238566425635475,0.308219192290613,-0.456925341258849,0.213255752280417,-0.371863982365597,-0.407972635338456,-0.0920230876428513,0.331053504610529,-0.0708294920141849,-0.112707061912627,0.312781958721447,0.0884182444341494,-0.14492407368186,0.158217118184932,0.184544093566508,-0.381140996497998,0.341128062517444,0.0265487735780467,0.0437610154228507,-0.0923982770385508,0.0979491993218495
"Homo sapiens: Activation of anterior HOX genes in hindbrain development during early embryogenesis",-0.0518491435006672,-0.343438966927749,-0.297186084314028,0.176840504696794,0.008374275728204,0.368588377821964,-0.0319903488093157,-0.417488396760729,0.231672005430262,-0.461137222235173,0.291518149558803,-0.397531739447878,0.161570862046195,0.41764893346416,0.485584015304884,0.334249379661708,-0.262579002820529,-0.511392265122715,0.0729446608400291,-0.511052604722278,-0.324923646391891,0.532053874993427,0.207337281726386,-0.322149612823581,-0.342579820238756,0.203435900386967,0.522063653326084,0.364132866137213,0.411979487945288,-0.373672959914655,-0.270384600080089,-0.298995635189615,0.160377761640992,-0.343640675246811,-0.169739015302153,-0.255780649340102,-0.331396195855085,-0.226765712980268,-0.177302100493567,-0.12973517691592,0.027660048549199,-0.116758987565756,-0.10742727907918,-0.442237741862548,-0.0516903520109246,0.273188890680941,0.361157770803795,0.121130911499704,0.378900543657473,0.433914715791275,0.18530915728313,0.101818615962462
"Homo sapiens: Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0.216425431143264,-0.470965704490182,-0.320721639828405,-0.134870986838428,-0.505013889465203,0.616217190059449,-0.38437060104173,0.296881796608345,-0.178888733196333,-0.523460752553686,-0.294797674289268,-0.078887511012399,0.0815306729438772,0.370007461757921,0.640661591193951,0.164395368907584,-0.134018975177246,-0.521957469167193,0.436997380148819,-0.699673316568391,-0.403766730150485,-0.195401470435297,0.465072392383165,0.483815752763682,-0.42364852479932,0.364668198643598,0.512878964899236,0.0415006293374243,-0.00945394390065235,-0.49217225669331,-0.159456783402052,0.13226041696005,0.388528263612742,-0.383383845942361,0.450065275603981,-0.549047606389742,-0.277316278423961,-0.607008033723311,-0.474392819333388,0.301502185698409,0.58278501694766,0.288316620654843,0.326281577526152,-0.407455234081429,-0.0668943600616543,0.551794891624155,0.137281041375089,0.31500802327573,-0.132028018914389,0.302792924663637,0.30735685286629,-0.240830968072244
