"","measure1","measure2","r","n","p","sig_p","p_if_sig","r_if_sig","AbsR"
"1","DeconRNASeq_BPRNACan3DProMet_CD8","DeconRNASeq_BPRNACanProMet_CD8",1,45,0,TRUE,0,1,1
"2","DeconRNASeq_BPRNACanProMet_CD8","DeconRNASeq_BPRNACan3DProMet_CD8",1,45,0,TRUE,0,1,1
"3","XCELL_Platelets","CBSX__scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b__Malignant",1,45,0,TRUE,0,1,1
"4","CBSX__scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b__Malignant","XCELL_Platelets",1,45,0,TRUE,0,1,1
"5","Epidish_CBSX_LM22_T.cells.regulatory..Tregs.","CBSX__LM22__T_cells_regulatory_.Tregs.",1,45,0,TRUE,0,1,1
"6","CBSX__LM22__T_cells_regulatory_.Tregs.","Epidish_CBSX_LM22_T.cells.regulatory..Tregs.",1,45,0,TRUE,0,1,1
"7","Epidish_BPRNACan3DProMet_M2","Epidish_BPRNACanProMet_M2",0.999766379693972,45,0,TRUE,0,0.999766379693972,0.999766379693972
"8","Epidish_BPRNACanProMet_M2","Epidish_BPRNACan3DProMet_M2",0.999766379693972,45,0,TRUE,0,0.999766379693972,0.999766379693972
"9","Epidish_BPRNACan_M2","Epidish_BPRNACanProMet_M2",0.9996336251937,45,0,TRUE,0,0.9996336251937,0.9996336251937
"10","Epidish_BPRNACanProMet_M2","Epidish_BPRNACan_M2",0.9996336251937,45,0,TRUE,0,0.9996336251937,0.9996336251937
"11","Epidish_BPRNACan_M2","Epidish_BPRNACan3DProMet_M2",0.999541366821874,45,0,TRUE,0,0.999541366821874,0.999541366821874
"12","Epidish_BPRNACan3DProMet_M2","Epidish_BPRNACan_M2",0.999541366821874,45,0,TRUE,0,0.999541366821874,0.999541366821874
"13","DeconRNASeq_BPRNACan_Neu","DeconRNASeq_BPRNACan3DProMet_Neu",0.997485236973121,45,0,TRUE,0,0.997485236973121,0.997485236973121
"14","DeconRNASeq_BPRNACan3DProMet_Neu","DeconRNASeq_BPRNACan_Neu",0.997485236973121,45,0,TRUE,0,0.997485236973121,0.997485236973121
"15","DeconRNASeq_BPRNACan_Mono","DeconRNASeq_BPRNACan3DProMet_Mono",0.9973767712887,45,0,TRUE,0,0.9973767712887,0.9973767712887
"16","DeconRNASeq_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan_Mono",0.9973767712887,45,0,TRUE,0,0.9973767712887,0.9973767712887
"17","DeconRNASeq_BPRNACan_B","DeconRNASeq_BPRNACan3DProMet_B",0.996906084469106,45,0,TRUE,0,0.996906084469106,0.996906084469106
"18","DeconRNASeq_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan_B",0.996906084469106,45,0,TRUE,0,0.996906084469106,0.996906084469106
"19","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Malignant.cells","CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells",0.996586017664188,45,0,TRUE,0,0.996586017664188,0.996586017664188
"20","CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_Malignant.cells",0.996586017664188,45,0,TRUE,0,0.996586017664188,0.996586017664188
"21","Epidish_BPRNACan_Neu","Epidish_BPRNACanProMet_Neu",0.996034173329119,45,0,TRUE,0,0.996034173329119,0.996034173329119
"22","Epidish_BPRNACanProMet_Neu","Epidish_BPRNACan_Neu",0.996034173329119,45,0,TRUE,0,0.996034173329119,0.996034173329119
"23","DeconRNASeq_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono",0.995783396401276,45,0,TRUE,0,0.995783396401276,0.995783396401276
"24","DeconRNASeq_BPRNACanProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono",0.995783396401276,45,0,TRUE,0,0.995783396401276,0.995783396401276
"25","Epidish_BPRNACan_M1","Epidish_BPRNACan3DProMet_M1",0.994088323525842,45,0,TRUE,0,0.994088323525842,0.994088323525842
"26","Epidish_BPRNACan3DProMet_M1","Epidish_BPRNACan_M1",0.994088323525842,45,0,TRUE,0,0.994088323525842,0.994088323525842
"27","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b__Macrophages",0.993824680957577,45,0,TRUE,0,0.993824680957577,0.993824680957577
"28","CBSX__scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b__Macrophages","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages",0.993824680957577,45,0,TRUE,0,0.993824680957577,0.993824680957577
"29","Epidish_BPRNACan3DProMet_Neu","Epidish_BPRNACanProMet_Neu",0.99367437481615,45,0,TRUE,0,0.99367437481615,0.99367437481615
"30","Epidish_BPRNACanProMet_Neu","Epidish_BPRNACan3DProMet_Neu",0.99367437481615,45,0,TRUE,0,0.99367437481615,0.99367437481615
"31","Epidish_CBSX_LM22_Neutrophils","CBSX__LM22__Neutrophils",0.992576029372413,45,0,TRUE,0,0.992576029372413,0.992576029372413
"32","CBSX__LM22__Neutrophils","Epidish_CBSX_LM22_Neutrophils",0.992576029372413,45,0,TRUE,0,0.992576029372413,0.992576029372413
"33","DeconRNASeq_BPRNACan_Mono","DeconRNASeq_BPRNACanProMet_Mono",0.992279978850682,45,0,TRUE,0,0.992279978850682,0.992279978850682
"34","DeconRNASeq_BPRNACanProMet_Mono","DeconRNASeq_BPRNACan_Mono",0.992279978850682,45,0,TRUE,0,0.992279978850682,0.992279978850682
"35","Epidish_BPRNACan_B","Epidish_BPRNACan3DProMet_B",0.992019001547696,45,0,TRUE,0,0.992019001547696,0.992019001547696
