"","measure1","measure2","r","n","p","sig_p","p_if_sig","r_if_sig","AbsR"
"1","Quantiseq_T_cell_CD4._.non.regulatory.","XCELL_Osteoblast",1,41,0,TRUE,0,1,1
"2","XCELL_Osteoblast","Quantiseq_T_cell_CD4._.non.regulatory.",1,41,0,TRUE,0,1,1
"3","DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.","CBSX__BPRNACan__NK",1,41,0,TRUE,0,1,1
"4","CBSX__BPRNACan__NK","DeconRNASeq_CBSX_LM22_T.cells.regulatory..Tregs.",1,41,0,TRUE,0,1,1
"5","%VISTA.CD68.PanCKn","X.CD11b.CD68.PanCKn",1,41,0,TRUE,0,1,1
"6","%CD11b.CD68.PanCKn","X.VISTA.CD68.PanCKn",1,41,0,TRUE,0,1,1
"7","%CD8.PDL1nPanCKp","X.CD8.PanCKp",0.999850982879214,41,0,TRUE,0,0.999850982879214,0.999850982879214
"8","%CD8.PanCKp","X.CD8.PDL1nPanCKp",0.999850982879214,41,0,TRUE,0,0.999850982879214,0.999850982879214
"9","%CD8.GzBnPanCKn","X.CD8.PanCKn",0.999687212742763,41,0,TRUE,0,0.999687212742763,0.999687212742763
"10","%CD8.PanCKn","X.CD8.GzBnPanCKn",0.999687212742763,41,0,TRUE,0,0.999687212742763,0.999687212742763
"11","Epidish_BPRNACan_M2","Epidish_BPRNACan3DProMet_M2",0.999291006234561,41,0,TRUE,0,0.999291006234561,0.999291006234561
"12","Epidish_BPRNACan3DProMet_M2","Epidish_BPRNACan_M2",0.999291006234561,41,0,TRUE,0,0.999291006234561,0.999291006234561
"13","%CD8.PDL1nPanCKn","X.CD8.PanCKn",0.998916224751313,41,0,TRUE,0,0.998916224751313,0.998916224751313
"14","%CD8.PanCKn","X.CD8.PDL1nPanCKn",0.998916224751313,41,0,TRUE,0,0.998916224751313,0.998916224751313
"15","Epidish_BPRNACan3DProMet_M2","Epidish_BPRNACanProMet_M2",0.998883775817848,41,0,TRUE,0,0.998883775817848,0.998883775817848
"16","Epidish_BPRNACanProMet_M2","Epidish_BPRNACan3DProMet_M2",0.998883775817848,41,0,TRUE,0,0.998883775817848,0.998883775817848
"17","%CD8.GzBnPanCKn","X.CD8.PDL1nPanCKn",0.998882335397438,41,0,TRUE,0,0.998882335397438,0.998882335397438
"18","%CD8.PDL1nPanCKn","X.CD8.GzBnPanCKn",0.998882335397438,41,0,TRUE,0,0.998882335397438,0.998882335397438
"19","DeconRNASeq_BPRNACan_Neu","DeconRNASeq_BPRNACan3DProMet_Neu",0.998776496698219,41,0,TRUE,0,0.998776496698219,0.998776496698219
"20","DeconRNASeq_BPRNACan3DProMet_Neu","DeconRNASeq_BPRNACan_Neu",0.998776496698219,41,0,TRUE,0,0.998776496698219,0.998776496698219
"21","Epidish_BPRNACan3DProMet_NK","Epidish_BPRNACanProMet_NK",0.998062227316906,41,0,TRUE,0,0.998062227316906,0.998062227316906
"22","Epidish_BPRNACanProMet_NK","Epidish_BPRNACan3DProMet_NK",0.998062227316906,41,0,TRUE,0,0.998062227316906,0.998062227316906
"23","DeconRNASeq_BPRNACan_Mono","DeconRNASeq_BPRNACan3DProMet_Mono",0.997185057332039,41,0,TRUE,0,0.997185057332039,0.997185057332039
"24","DeconRNASeq_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACan_Mono",0.997185057332039,41,0,TRUE,0,0.997185057332039,0.997185057332039
"25","Epidish_BPRNACan_M2","Epidish_BPRNACanProMet_M2",0.996929391054801,41,0,TRUE,0,0.996929391054801,0.996929391054801
"26","Epidish_BPRNACanProMet_M2","Epidish_BPRNACan_M2",0.996929391054801,41,0,TRUE,0,0.996929391054801,0.996929391054801
"27","DeconRNASeq_BPRNACan3DProMet_Mono","DeconRNASeq_BPRNACanProMet_Mono",0.994712680606636,41,0,TRUE,0,0.994712680606636,0.994712680606636
"28","DeconRNASeq_BPRNACanProMet_Mono","DeconRNASeq_BPRNACan3DProMet_Mono",0.994712680606636,41,0,TRUE,0,0.994712680606636,0.994712680606636
"29","Epidish_BPRNACan3DProMet_M1","Epidish_BPRNACanProMet_M1",0.994036569556756,41,0,TRUE,0,0.994036569556756,0.994036569556756
"30","Epidish_BPRNACanProMet_M1","Epidish_BPRNACan3DProMet_M1",0.994036569556756,41,0,TRUE,0,0.994036569556756,0.994036569556756
"31","DeconRNASeq_BPRNACan_B","DeconRNASeq_BPRNACan3DProMet_B",0.993649127263936,41,0,TRUE,0,0.993649127263936,0.993649127263936
"32","DeconRNASeq_BPRNACan3DProMet_B","DeconRNASeq_BPRNACan_B",0.993649127263936,41,0,TRUE,0,0.993649127263936,0.993649127263936
"33","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages","CBSX__scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b__Macrophages",0.992997330723424,41,0,TRUE,0,0.992997330723424,0.992997330723424
"34","CBSX__scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b__Macrophages","Epidish_CBSX_scRNA.Seq_melanoma_Tirosh_sigmatrix_SuppFig_3.b_Macrophages",0.992997330723424,41,0,TRUE,0,0.992997330723424,0.992997330723424
"35","Epidish_BPRNACan_M2","CBSX__BPRNACan3DProMet__M2",0.991587733673138,41,0,TRUE,0,0.991587733673138,0.991587733673138
"36","CBSX__BPRNACan3DProMet__M2","Epidish_BPRNACan_M2",0.991587733673138,41,0,TRUE,0,0.991587733673138,0.991587733673138
"37","%CD8.GzBp","X.CD8.GzBpPanCKp",0.991488959237121,41,0,TRUE,0,0.991488959237121,0.991488959237121
"38","%CD8.GzBpPanCKp","X.CD8.GzBp",0.991488959237121,41,0,TRUE,0,0.991488959237121,0.991488959237121
"39","%CD8.GzBn","X.CD8.PDL1n",0.991384609659947,41,0,TRUE,0,0.991384609659947,0.991384609659947
"40","%CD8.PDL1n","X.CD8.GzBn",0.991384609659947,41,0,TRUE,0,0.991384609659947,0.991384609659947
"41","Epidish_BPRNACan_M1","Epidish_BPRNACan3DProMet_M1",0.991217789106185,41,0,TRUE,0,0.991217789106185,0.991217789106185
"42","Epidish_BPRNACan3DProMet_M1","Epidish_BPRNACan_M1",0.991217789106185,41,0,TRUE,0,0.991217789106185,0.991217789106185
"43","DeconRNASeq_BPRNACan_Mono","DeconRNASeq_BPRNACanProMet_Mono",0.990649544755556,41,0,TRUE,0,0.990649544755556,0.990649544755556
"44","DeconRNASeq_BPRNACanProMet_Mono","DeconRNASeq_BPRNACan_Mono",0.990649544755556,41,0,TRUE,0,0.990649544755556,0.990649544755556
"45","Epidish_BPRNACan_B","Epidish_BPRNACan3DProMet_B",0.989968003436738,41,0,TRUE,0,0.989968003436738,0.989968003436738
"46","Epidish_BPRNACan3DProMet_B","Epidish_BPRNACan_B",0.989968003436738,41,0,TRUE,0,0.989968003436738,0.989968003436738
"47","Epidish_BPRNACan_cancer","Epidish_BPRNACan3DProMet_cancer",0.989525574653075,41,0,TRUE,0,0.989525574653075,0.989525574653075
"48","Epidish_BPRNACan3DProMet_cancer","Epidish_BPRNACan_cancer",0.989525574653075,41,0,TRUE,0,0.989525574653075,0.989525574653075
"49","DeconRNASeq_BPRNACan3DProMet_Neu","DeconRNASeq_BPRNACanProMet_Neu",0.989258428286592,41,0,TRUE,0,0.989258428286592,0.989258428286592
"50","DeconRNASeq_BPRNACanProMet_Neu","DeconRNASeq_BPRNACan3DProMet_Neu",0.989258428286592,41,0,TRUE,0,0.989258428286592,0.989258428286592
"51","DeconRNASeq_BPRNACan_M2","DeconRNASeq_BPRNACan3DProMet_M2",0.988446498113746,41,0,TRUE,0,0.988446498113746,0.988446498113746
"52","DeconRNASeq_BPRNACan3DProMet_M2","DeconRNASeq_BPRNACan_M2",0.988446498113746,41,0,TRUE,0,0.988446498113746,0.988446498113746
"53","%CD8.PDL1p","X.CD8.PDL1pPanCKn",0.987701886051159,41,0,TRUE,0,0.987701886051159,0.987701886051159
"54","%CD8.PDL1pPanCKn","X.CD8.PDL1p",0.987701886051159,41,0,TRUE,0,0.987701886051159,0.987701886051159
"55","CBSX__BPRNACan3DProMet__CD8","CBSX__BPRNACanProMet__CD8",0.987438512937214,41,0,TRUE,0,0.987438512937214,0.987438512937214
"56","CBSX__BPRNACanProMet__CD8","CBSX__BPRNACan3DProMet__CD8",0.987438512937214,41,0,TRUE,0,0.987438512937214,0.987438512937214
"57","DeconRNASeq_BPRNACan_Neu","DeconRNASeq_BPRNACanProMet_Neu",0.986320560215052,41,0,TRUE,0,0.986320560215052,0.986320560215052
