,Cluster 4,Cluster 7,Cluster 21,Cluster 11,Cluster 5,Cluster 18,Cluster 1,Cluster 12,Cluster 3,Cluster 2,Cluster 15,Cluster 8
Patient100,0.222513069486031,0.096463391320775,0.371455330503647,0.0318639501917282,0.52025460553047,0.0,44.8285282814747,0.345136733691542,2.6792246373951,0.530520555466424,0.088764586015228,0.0730486394428726
Patient102,0.597155549051612,0.225104559432569,0.144813239401598,0.0937005172744274,0.882723462750823,0.0554932052308913,2.56484389248482,0.254636339821514,0.810085092579015,0.70066106692417,0.312632761616287,0.262961141429631
Patient105,0.303060872538826,0.41700789198598,0.0561380957722474,0.0371702133801013,0.469998304170135,0.0899746841710791,0.503648828331251,0.0702057912465515,0.142901035485257,0.409588573555966,0.294969464088027,0.0767453027551575
Patient106,0.283802601843227,0.302167610107804,0.266871371680878,0.313399603138122,0.802565397878773,0.023339396534069,9.48946593210944,0.215194727841383,0.620548945664841,0.930865449568985,0.134028469096281,0.0494166812796498
Patient107,0.623610877781533,0.377693397058328,0.0574606637470765,0.0660019484190921,0.329213292063076,0.256783617933521,2.88323322602837,0.206277369301771,0.085168018708057,0.450276692099702,0.0,0.0022156609883644
Patient108,0.491327101460919,0.411573428768178,0.0760352628878941,0.0426283072507766,0.29714486135315,0.0273774234283942,0.1776285560366,0.120265918278139,0.202154844898745,0.653380204463545,0.0658917915820605,0.113361072395112
Patient10,0.525308351365695,0.340097186308663,0.116553551422353,0.0645898145468492,0.562915546365171,0.0584915479941282,3.39695590449561,0.129880851420339,0.486257563107854,0.812847574749292,0.167089021047497,0.31136019499805
Patient112,0.518989428989207,0.279119578595934,0.0869264106862799,0.0335127218523768,0.527103624238463,0.090789934511455,7.34402009881486,0.18845034198065,0.496658935119928,0.795701282255534,0.0,0.1778634187458
Patient116,0.547024020819372,0.314008899436474,0.0825493574071008,0.0801832806241834,0.569277934743593,0.0476631814792818,0.622055911797395,0.149456252216072,0.514888990225639,0.926474810839135,0.079643322392885,0.139902199862777
Patient117,0.282261114531301,0.149010975481836,0.391163117289025,0.039643523130644,0.460251687553485,0.0190610084983314,11.5667885073748,0.297514110613542,2.60548831190333,0.96534608305488,0.22576936428693,0.0747299920460539
Patient11,0.343403888965504,0.304650891747233,0.184193199937124,0.117323883151689,0.43944219734593,0.020000346184231,0.629489787331525,0.213501510197759,0.428521890274456,0.906039916662596,0.236324377178747,0.172810576236927
Patient121,0.404914172080107,0.244727168919683,0.206003049049338,0.0557100539315933,0.490598292411102,0.024385942956334,4.82517819772027,0.242480452998691,0.835134511780604,0.795467960606195,0.0266653003064291,0.169070043865454
Patient125,0.0524688788790111,0.165429102969475,0.292814119019287,0.0328612092280006,0.606533809788863,0.0555210740735268,189.699217831649,0.187978520646287,1.41138594231904,0.440855646638945,0.057526630034261,0.108766267922158
Patient126,0.392805103189801,0.191501185736812,0.32695312765223,0.0186640860129872,0.919679641177292,0.0324532749459902,4.43200100834232,0.237737676160944,1.07050684227861,0.937457235393457,0.22496177656371,0.112818291166761
Patient127,0.38094583302055,0.286304584699103,0.100655836830922,0.0679420495219385,0.494792889528605,0.109314683852382,0.387922893429243,0.234575187160133,0.374001437952816,0.851033557738461,0.103837648195242,0.172485891768105
Patient130,0.216080368212552,0.207815279958122,0.296215212988188,0.055406181378941,0.547798159690696,0.0337235733478323,24.8556090673942,0.305244967838264,0.804247475383113,0.936035433915827,0.0,0.103302610333969
Patient131,0.17489737616294,0.245211154350805,0.338079927850642,0.0597506172175418,0.403118764123419,0.0286731554817954,0.578266792897594,0.151295915080831,1.74872972335057,0.839085423830609,0.530680957732026,0.0981354993537469
Patient132,0.354045288529309,0.241310597208468,0.237839727184524,0.0473137231933946,0.730195146177848,0.0004910166699543,33.437599484512,0.22445847438686,0.955793672173814,0.802674669578067,0.127412203536651,0.227137006210268
