"","Epidish_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","DeconRNASeq_CBSX_sigmatrix_HNSCC_Fig2cd_CAFs","CBSX__scRNA.melanoma__CAF","CBSX__HNSCC__CAFs"
"LP.01.01",0.52901897669003,0.221475755944523,0.496714681481429,0.534259759274407
"LP.01.02",0.412867776942748,0.22051581914397,0.434390194522146,0.440013626745164
"LP.01.03",0.315116324185568,0.200291664015647,0.297576956828994,0.363413704286848
"LP.01.04",0.631199639567379,0.221576755048834,0.780261313969423,0.634068215962461
"LP.01.10",0.537987439474146,0.269746583117901,0.596772467389663,0.533168141684093
"LP.01.12",0.384756236265008,0.226608056643297,0.359545521134515,0.402420573062818
"LP.01.14",0.447530556978552,0.247355686542455,0.519418363603448,0.4816443918671
"LP.01.16",0.471328561482488,0.272505718788464,0.621787408636175,0.480982313234852
"LP.01.18",0.365243724775333,0.208468438576862,0.536874269177087,0.391512204698554
"LP.01.19",0.360908091511383,0.182068428902962,0.534409063114364,0.358524599490551
"LP.01.20",0.703690736241152,0.261506927796095,0.767109534691448,0.700156523726188
"LP.01.22",0.476987665289483,0.148856809905263,0.754873146075136,0.465943955723
"LP.01.24",0.375011197730154,0.231173332552367,0.371605326325146,0.36655267101218
"LP.01.25",0.456707342334519,0.2725192970849,0.527632579660203,0.503833085806736
"LP.01.28",0.548664196551886,0.277289208953689,0.608346245978145,0.563437759700268
"LP.01.31",0.503244439609686,0.191008929831519,0.664100906112511,0.472970361909613
"LP.01.35",0.455912356897381,0.262082617454845,0.498786520097472,0.492310768650326
"LP.01.40",0.391630285103851,0.189692303111671,0.758801756390589,0.350683298215973
"LP.01.42",0.543022264010545,0.258981345611327,0.767848385609587,0.551533733467946
"LP.01.46",0.419361990246515,0.181012337781394,0.509806812133735,0.427628945833966
"LP.01.58",0.503112809196871,0.213787432034914,0.69020062114216,0.560407794086339
"LP.01.61",0.389561715653859,0.166150338940444,0.629681657523731,0.41316609552834
"LP.01.66",0.373092768235794,0.248083451660449,0.455348630207104,0.396530965968546
"LP.01.67",0.45233656551774,0.23945702002522,0.492801488132766,0.492177813776893
"LP.01.68",0.301526174095625,0.182624489423803,0.226836918617742,0.310631748068755
"Test.FFPE.01",0.521537235322219,0.227360684096442,0.737717430225879,0.526892190308709
"Test.FFPE.03",0.376704945463565,0.218214206067306,0.333514764268336,0.355837820899127
"Test.FFPE.04",0.540376436265618,0.252272119952905,0.661266752140336,0.590146291214488
"Test.FFPE.05",0.461564256177805,0.251375860008344,0.569450995206017,0.484075060190344
"Test.FFPE.06",0.666256120638712,0.229469262009506,0.743366802921194,0.713795807549013
"Test.FFPE.08",0.709849335906151,0.251286759978513,0.713673670084525,0.715039355403111
