"","DeconRNASeq_BPRNACan3DProMet_M0","DeconRNASeq_BPRNACanProMet_M0","CBSX__LM22__Macrophages_M0"
"LP.01.01",0,0,0.00684071401737889
"LP.01.02",0.00559361313343567,0.00578641509688704,0.102443943518324
"LP.01.03",0.0110662714059155,0.00853882197479687,0.0182376012689318
"LP.01.04",0,0,0.0646810820774624
"LP.01.10",0.00733289984622775,0.00771319147496167,0.0452503111800331
"LP.01.12",0.00904479124580208,0.0120492340877173,0.152526199421094
"LP.01.14",0.00700362095785324,0.0077679647479235,0.0273731524420697
"LP.01.16",0.0217453091384077,0.0245314621906888,0.0786683508721528
"LP.01.18",0,0,0.0653779082255631
"LP.01.19",0,0,0.00577745985058393
"LP.01.20",0.039520626715821,0.0442086752872493,0.0385610127627476
"LP.01.22",0,0,0
"LP.01.24",0.0184729036877975,0.0155971951261023,0.188528292846827
"LP.01.25",0.042087954009202,0.0428162498272523,0.0756438319887469
"LP.01.28",0.028287454522638,0.0302164790050826,0.0864687235523271
"LP.01.31",0,0,0.0321357426693116
"LP.01.35",0.0237502935855578,0.0275368708257105,0.0401685321943988
"LP.01.40",0,0,0.0400285155081542
"LP.01.42",0.0303330729254384,0.0328903990260892,0.0630041279154401
"LP.01.46",0.0133839409475728,0.00831779973629916,0.0583591612909429
"LP.01.58",0,0,0.0599794802898152
"LP.01.61",0,0,0.105429134130615
"LP.01.66",0.0160719762544978,0.0158883595959402,0.0184490578508334
"LP.01.67",0.00972938910336336,0.0108660018359291,0.0630203277801301
"LP.01.68",0.00617238623396801,0.00669264814148344,0.209700989422078
"Test.FFPE.01",0,0,0.0546778264596427
"Test.FFPE.03",0.00594482538657181,0,0.120183501415333
"Test.FFPE.04",0.0219853112362728,0.0196717257777309,0.0170612942512539
"Test.FFPE.05",0,0,0.0343368966869928
"Test.FFPE.06",0,0,0.0572710273212519
"Test.FFPE.08",0,0,0.0894578664738171
