Patient	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS	MHC-II	MHC-I
Patient100	5422.435436	5001.924014	5721.70742	7111.046499	3060.292989	6665.759662	5968.49184	5799.624896	6573.391247	6659.434239	5343.987623	5998.381875	2327.090245	2127.473888	5945.923776	2510.904683	7150.490534	7978.129683	7763.018198	3916.026463	1713.657168	2051.213461	5589.691016	7141.355023	5541.983179	7053.419118	6350.332992	8129.657173	5684.404327	6947.46398	3841.857589	3059.903404	4419.527005	7413.63281	3944.671091	7318.233549	4942.98615	-1840.319352	4699.882489	6540.201841	4985.790417	4790.046684	3242.126054	5144.091706	913.4433863	4154.466561	6301.695257	-1183.819749	7105.085642	3195.193487	-3909.892155	-2631.78282	8461.527666	10129.76106
Patient102	4202.203354	4862.214887	5648.355798	6908.895114	2731.219604	6437.957173	3458.484236	6506.855348	6284.102576	5836.103042	3699.292093	6308.422409	2293.208474	1784.134174	6465.949545	2302.647657	7872.38531	5550.402486	5154.137283	3184.849925	188.3297099	2715.298773	4492.206357	7557.415444	5532.779916	7195.904072	6017.197915	8540.698115	6146.002676	4974.25333	1721.0551	2566.87645	4163.350536	8000.789366	4499.180848	6945.968264	4711.045493	-1306.894227	4651.011344	5957.905571	5145.462741	4598.421196	2696.780268	3678.962641	1655.110278	4617.992888	2991.27798	-193.966307	6988.663711	2359.337054	-4629.326657	-2574.392044	4007.311639	8547.668246
Patient105	1825.359153	3110.710561	4727.12623	6676.203045	2756.320798	5744.613141	852.2236409	6302.885659	6752.716469	4895.787767	3328.941478	5302.105124	1018.932976	805.8633036	5656.146446	200.5686924	7199.474314	4376.782484	3650.97528	2366.660679	-339.3178124	1304.483834	2912.217812	7096.103995	5383.637325	6775.788887	6751.60951	8696.864545	5859.812284	2805.149979	-1093.883127	1529.90643	4624.851068	7878.592812	3307.354869	6087.472449	3283.073481	-1159.01788	3402.046405	4561.064285	2009.990256	3898.09082	1519.609318	2354.755965	1254.684635	4183.290015	1153.913428	801.431446	3836.022559	-325.105652	-4161.128211	-708.6097637	258.0283192	8490.758593
Patient106	3565.586187	4398.270065	6052.714836	7099.903004	2561.766824	5592.356905	3231.155643	6793.051743	7034.419273	5861.126846	4617.015392	6415.946685	2421.072437	1974.888062	5634.183783	1750.249796	7710.307455	6712.658775	5896.208842	3362.340337	1272.129567	1585.398529	4133.720667	7312.156586	5579.473079	7549.09129	7163.579067	8975.514934	6649.63859	4986.35106	1715.210908	2966.44719	5200.805033	8253.395492	4454.96896	7052.265927	4191.368753	-1171.447957	4654.077824	5825.525781	4722.321988	4377.013612	2647.53424	3496.81172	1698.98612	5060.511178	3713.884121	238.4302157	6089.630966	1880.21585	-4209.415116	-756.167493	7088.019106	9856.637858
Patient107	2703.734554	3902.681208	5036.519997	5682.658377	3393.076646	5186.988728	3407.460021	4946.812481	5297.331396	5038.246375	3974.202479	4772.017391	2119.20724	2380.974785	5203.644005	3086.064591	5783.645193	3250.394758	2439.798174	4150.474664	2312.543961	2782.850293	3388.307353	6218.325907	4312.716446	5602.315964	5448.491617	8220.227923	6014.743561	4474.666871	1584.709666	3206.46483	5347.903372	6727.562281	4436.26574	4481.391921	3001.484447	-935.1068037	3528.482623	4463.589427	3662.548877	3869.152726	3523.967421	2961.666	2358.916963	3279.716056	3050.486265	1748.808586	2668.152207	1925.084404	-743.0678037	2136.39893	709.0167894	7550.991794
Patient108	2399.397879	3820.530848	4226.797378	5419.924568	1734.685595	4608.285091	2117.753229	5335.670297	5530.426778	4688.439492	3537.204456	5004.842755	795.7559781	1020.435042	5588.726783	1214.907136	7266.583473	5501.502149	4266.128355	2920.270733	313.5711782	2469.666422	3242.931095	6527.376466	5156.727092	6277.473396	5103.113946	8347.073814	5335.122068	2415.797043	605.556024	2295.769225	4734.688553	7560.799089	3843.40773	4927.823027	2763.103203	-1793.981619	3524.623463	5318.605081	1725.073934	3765.026074	1897.940085	2351.851231	1443.537938	3577.35756	2302.733689	656.0600191	3330.338382	571.8608844	-2758.477497	454.2673358	2075.389113	8172.259968
Patient10	3206.814666	4346.967655	5812.833174	7297.609827	2355.233268	6171.979656	3330.68417	6894.337896	7447.672321	5443.478641	4391.311059	6730.244996	2226.356378	2081.042231	5989.15036	2454.035634	7285.892524	6142.24075	5497.500892	3505.280542	1254.792129	3080.792047	3956.158716	7835.358532	5519.911576	7768.199023	7688.25899	9197.35019	7691.845813	5353.252432	1157.763016	2856.767492	5259.372852	8533.531573	4686.725346	6811.282721	4488.063846	-1425.015084	4595.784856	6020.79994	4391.621533	4052.8131	2609.396225	3648.153722	433.7843483	4454.789773	3368.016971	326.9281751	5853.784648	1500.226366	-4353.558282	-980.6959027	5649.411609	9120.478875
Patient112	4792.900728	4907.470348	6336.974391	7072.783846	3691.381672	6377.626155	3292.983984	6659.899223	6735.540363	6015.282101	5425.069353	6320.400429	3661.611692	3189.59302	6088.918118	2748.009698	7329.456349	7417.922738	6659.220522	4073.123801	1908.499129	2840.262385	4371.828544	7071.682185	5693.837919	7040.121268	6651.135096	8560.218183	6641.031989	6044.456538	1794.91891	2808.169294	5085.668676	7728.834827	4391.064246	6870.551847	5310.334049	-1232.077109	4940.502036	6172.579145	3678.645699	4193.763015	3177.046344	4242.847321	1443.871338	4280.805171	3964.253529	-899.0082057	4652.367911	1967.503445	-2684.864466	-2694.440635	7352.58883	10155.81649
Patient116	2867.8977	4554.821691	5975.883741	7328.564219	3152.946797	6328.675419	2159.421278	6250.771317	6942.895258	5453.141758	4158.312927	5779.301382	2969.795841	2682.774398	5998.497948	3251.964328	7596.242918	6544.898144	5139.908526	4142.724132	681.1296901	2564.580995	3967.844279	7152.854699	5806.524593	7020.543554	6742.860093	8672.948146	6378.136724	5693.090397	343.4890738	2516.120715	4700.636678	7635.588636	3975.819686	6252.865016	4689.281942	-2650.855742	3815.380529	6466.236271	4345.024602	4212.349081	2889.654355	3230.642673	1309.756222	4296.637116	1730.765597	297.7014196	4340.897629	1302.752284	-3038.145345	-1923.784233	4106.038078	8636.896803
Patient117	4301.795652	4657.567202	5983.000531	6663.14699	3268.340021	6636.277674	4479.923312	6322.299081	5237.955716	6096.183638	5736.076103	6693.862671	3357.263692	2765.99349	6003.592407	3271.565331	7641.742478	6850.322143	6282.115903	4327.110526	1966.828321	3394.695041	5332.361352	7623.59675	5612.979109	7333.01868	4802.269752	8316.508766	5764.182884	7102.921248	2248.871372	3469.822079	5149.193115	7942.84242	4317.075045	7044.471592	5066.555193	-1566.170663	5121.881374	6688.052037	5274.058822	4257.299638	4153.766895	4446.23128	1098.947967	4497.24612	4166.350699	-1519.515275	6595.499541	2361.090901	-4234.40864	-1930.511688	9156.983785	9631.185057
