"pathways" "Gide_PD1_10_Post" "Gide_PD1_10_Pre" "Gide_PD1_11_Pre" "Gide_PD1_12_Pre" "Gide_PD1_13_Post" "Gide_PD1_13_Pre" "Gide_PD1_14_Pre" "Gide_PD1_15_Pre" "Gide_PD1_16_Pre" "Gide_PD1_17_Post" "Gide_PD1_17_Pre" "Gide_PD1_18_Pre" "Gide_PD1_19_Pre" "Gide_PD1_2_Pre" "Gide_PD1_21_Pre" "Gide_PD1_23_Pre" "Gide_PD1_25_Post" "Gide_PD1_25_Pre" "Gide_PD1_27_Pre" "Gide_PD1_29_Post" "Gide_PD1_29_Pre" "Gide_PD1_3_Pre" "Gide_PD1_30_Pre" "Gide_PD1_34_Pre" "Gide_PD1_35_Pre" "Gide_PD1_36_Pre" "Gide_PD1_38_Pre" "Gide_PD1_4_Pre" "Gide_PD1_40_Pre" "Gide_PD1_41_Post" "Gide_PD1_41_Pre" "Gide_PD1_42_Pre" "Gide_PD1_44_Pre" "Gide_PD1_45_Pre" "Gide_PD1_46_Pre" "Gide_PD1_47_Post" "Gide_PD1_47_Pre" "Gide_PD1_48_Post" "Gide_PD1_48_Pre" "Gide_PD1_49_Pre" "Gide_PD1_5_Pre" "Gide_PD1_50_Pre" "Gide_PD1_52_Pre" "Gide_PD1_53_Pre" "Gide_PD1_54_Pre" "Gide_PD1_6_Pre" "Gide_PD1_7_Pre" "Gide_PD1_8_Post" "Gide_PD1_8_Pre" "Gide_PD1_9_Pre"
"1" "REACTOME_2_LTR_CIRCLE_FORMATION" -0.436302525516626 -0.0145751071294664 -0.674321801953762 -0.542658946870764 0.600236056982086 0.0697903787363479 0.392250670371735 -0.331459437598649 -0.35179933337786 -0.59652619968279 0.197781846091896 0.685092184665904 0.485242244921175 -0.396253195175811 -0.177595339974597 0.256445841899814 -0.653877246440118 -0.385109411812464 0.0357188525333529 0.491921250607819 0.265164730636455 -0.316525017988673 0.372107197482502 0.107344427798517 -0.396342967103391 0.365167574540751 0.170877182804268 -0.535989860449514 0.0130808549964798 0.0336060601229938 0.554129613655367 -0.561901295340152 -0.119351491783324 -0.309578152930436 0.0561883196446433 -0.217337176103537 -0.229249069754347 -0.165723524656487 0.118553829849576 0.33918415176013 0.122489100087802 0.45234102938534 0.139493354361792 -0.660462900310834 0.314189555131233 0.421413348572312 0.552585893920395 -0.439154668575137 0.331908144851011 -0.416218739811845
"2" "REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS" -0.0248723071821845 -0.356082967252287 0.196154122814802 0.50455013475261 -0.340646113920724 -0.0569686143741001 0.170465414893705 0.292517811188694 0.500305706964835 0.379636018711109 0.515930068968573 0.171423899949938 -0.164730758687157 0.390137927578779 -0.435149924797779 0.425009702911457 -0.0133211979883588 0.0791433172776402 0.295632137560982 -0.315465262823768 -0.0705207982339779 0.129310989472431 0.159254399750168 0.257767099020166 -0.188921708710215 -0.380587412883747 0.32315393920225 -0.0677756238799338 -0.0648585151511474 0.0519177637363633 0.121794296713234 0.290738763535915 0.0410003907154645 -0.345299539624968 -0.225743544488889 -0.55576436829998 -0.223970278006863 -0.274955452768246 -0.289163517263303 -0.0795456070434385 -0.498305659899135 0.131541419062125 -0.0578771049343477 0.285268797292527 -0.146907924317567 -0.462916198545331 -0.146830579297617 0.186998570729872 0.142557454249552 0.211096412097997
"3" "REACTOME_ABACAVIR_METABOLISM" 0.518069859426106 0.597944861686988 0.103369068256152 0.0642549903643341 -0.0820726563509462 -0.219000254052172 -0.331769634113274 0.0577453807995804 -0.379757683221911 0.327769175851661 -0.106569535138163 0.269623676288946 -0.196298788141979 0.390924931037015 -0.0425272863888997 -0.477591693829002 0.362312139160887 0.0315697292504279 -0.265299374463787 -0.00469422994905611 -0.425434777520729 -0.00771000435246719 0.24718230281695 0.293751635799375 -0.161741350014576 0.180536634700947 0.0445795129399095 0.440978013011252 0.0350665370155814 0.0201454952434029 -0.440301301988377 0.199222281196326 -0.12709071690619 0.00125221443185397 0.464815458916924 0.182647307609947 -0.132214395718918 -0.0190123393269788 -0.262473228266037 0.0995623292022615 -0.5590260732421 -0.660927053238013 0.0826338369706451 0.708233889180957 -0.253290209385771 -0.266540373682735 0.0186344310235332 0.53774004698165 -0.0445031241224897 0.362032064518362
"4" "REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT" 0.508691305175404 -0.0328898284009604 0.5451425016019 -0.11253419547385 -0.205043466860232 -0.304869414479024 -0.0443297687143782 0.449064398842225 -0.695299401762879 0.258475680335255 -0.310369861363931 -0.760818204427264 -0.108117703430976 0.194853403926911 -0.0507405059573406 0.0709128076100329 0.538936504780738 0.596562157340408 -0.42362620376573 -0.733210145243819 -0.781703319782529 0.223207095686687 -0.800671474758063 0.218504706475471 0.231211100210114 -0.505326131730621 0.503071644547145 0.242394724746982 -0.242431542729621 0.48065243310873 -0.170181539099967 0.617551810061443 0.66195241099113 0.504715436568744 -0.055039386284794 0.274785020588403 0.379942800298403 0.613034640790505 -0.320082760357417 -0.377356179440929 -0.00698984099933703 -0.0738011092542409 -0.0799733734903017 0.584183039044986 -0.233281248445738 0.367453380690431 0.458265872753606 0.170476870322195 -0.285394008930894 0.0458056565272253
"5" "REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM" 0.490752426161626 0.425034050353598 0.25132844709107 0.0574712498022715 -0.156525312233072 -0.208318876882667 -0.245526773414907 0.270739677989852 -0.630571750935744 0.264371180087363 -0.241532100430153 -0.260715250427348 -0.182626952238923 0.310320737039453 -0.0456415031553245 -0.208575040196159 0.443353403815696 0.291666579307336 -0.317964466155259 -0.405562348181532 -0.563131887976521 0.0764655889421685 -0.41479804655049 0.216183155319746 0.0604886358376212 -0.109909839099981 0.150104610785106 0.355647374808883 -0.106183369390854 0.242827460732028 -0.243906173338547 0.428783639331257 0.423737626721408 0.249721722090408 0.238460955626658 0.237271223384448 0.0216572384269328 0.303722220152977 -0.331899747643641 -0.167544074660741 -0.258910427704255 -0.444077290543382 0.0761241370732147 0.685158611631014 -0.287248867727625 0.113351859558355 0.175552452573133 0.388950596662309 -0.143541495420797 0.168961742221216
"6" "REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT" -0.214669907287223 -0.225721175075729 -0.301160614131978 -0.489022408928442 -0.076679659269323 -0.223737938100469 -0.446259534314417 -0.579029593781843 -0.438234230040263 -0.398188977053034 -0.00160564966139676 -0.00509600238596181 -0.175436915526612 -0.357937162384283 -0.196173455546816 0.0308618967345254 -0.343934832726783 -0.168576809449041 -0.372504726075064 -0.2883961118175 -0.437126300054579 -0.437878729885656 -0.129780710259048 -0.185931969440058 -0.335201920303221 -0.19144364363607 -0.206077585782489 -0.28744344931585 -0.160002151387837 -0.284902162114873 -0.0598271376122083 -0.51115630354611 -0.366832305662797 -0.418209405184949 -0.00631121042349445 -0.213221680523424 -0.277163603061354 -0.259030224538185 -0.300939888505022 -0.0195051728532677 -0.267023118148679 0.0369877103219486 -0.165341632226305 -0.526137820354717 -0.156186997650062 -0.275866583176099 0.037114407279388 -0.444855181081197 -0.292593346477045 -0.451460318320156
"7" "REACTOME_ABC_TRANSPORTER_DISORDERS" -0.190385779540024 -0.23298818214579 -0.336176642070065 -0.566199057755748 -0.0186601657828475 -0.207547573903024 -0.483110337030464 -0.653347857083841 -0.479529092559531 -0.399842510950273 0.0538623977962281 0.0357470858334335 -0.0366128386910902 -0.311100766132817 -0.278100054622755 0.112466259872943 -0.37949202475761 -0.0807105299885849 -0.372701861193618 -0.280670359332426 -0.527672969538985 -0.477806404329677 -0.0380992095883319 -0.195417895582014 -0.384717425099005 -0.235218693181583 -0.205354835578858 -0.237422246382304 -0.108427530069106 -0.345798851971912 0.0456879371404784 -0.556323567241244 -0.431315377873401 -0.496895562376638 0.0483288338932382 -0.235685618658339 -0.30839984549038 -0.293365173143884 -0.28821131538287 0.0239527660534753 -0.272021699891165 0.0941227645009247 -0.110632974342953 -0.570668106750344 -0.134761366972074 -0.317184674846402 0.0838063582513408 -0.410611586000267 -0.239164189698761 -0.52403645769088
"8" "REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS" 0.0536215485460661 -0.0057962410255786 0.469070415316164 -0.0241950215247553 -0.496038935658576 -0.233564364939292 -0.309412517740696 0.538146146687372 0.0718366665801657 0.0181026022813467 -0.430044647175048 -0.408515716576421 -0.469535723059246 -0.0631599831469546 0.324866550695746 0.103879878752791 0.1458296800546 -0.334023467917649 -0.118352609561419 0.166204790913616 -0.0132677861552726 -0.00563456335694507 -0.374707294932361 -0.217906901954831 0.362459529777405 -0.0242674744917664 -0.224820201812236 0.443099244812853 0.103524295661836 0.184481745089457 -0.173289995369493 0.248653805903307 0.309448959735794 0.367526310070109 -0.0288931917218462 0.238479402948167 0.301952438493634 0.0758258424495013 -0.242791052768994 0.218996962132832 -0.411248655822373 -0.0542833986082677 -0.320397959073061 -0.0320441904234395 0.226718411720205 0.175823721370585 -0.429154873453007 -0.360614308873904 -0.323712486728165 0.375697272994677
"9" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS" -0.232048277471206 0.198096581542083 -0.533771581574957 -0.268667017940279 0.450628570343486 0.330726723785939 -0.0208177744585686 -0.376885534352537 -0.04570539252476 -0.452775287647729 -0.0992364832133571 -0.211728164178959 0.460780103663299 -0.385397210626722 0.250023419305281 -0.0949807423563653 -0.306602587135684 0.12511319064715 0.0596597268363817 0.149402767643489 0.0276737880989781 -0.193805817480065 -0.0634843813124967 0.112611341029723 -0.457248749996762 0.05515108570837 -0.350170115929123 -0.148001360586341 0.0127170668328969 -0.0939004528841375 0.264374209093917 -0.294425867186935 -0.268388977487723 -0.324358592069093 0.00999003727198117 0.195474994195622 -0.332743639099863 0.126298859809314 0.064249973584817 0.00775675597618292 0.503446204680426 -0.216848307627639 0.0420068480271295 -0.319476795590148 0.224380243426806 -0.145166941799121 0.272800124184491 0.362934996551645 0.396058553417505 0.0286657794361959
"10" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS" -0.00882254939757446 0.204189819400485 -0.365889785118358 -0.454993229525133 0.286629598658009 0.10468567536456 0.0618611892070343 -0.488186227048923 -0.210921863588228 -0.200199560364602 -0.049717722197492 -0.597263206735144 0.117253645438519 -0.399166589628906 -0.142501798846826 0.112457239636244 -0.299067085142197 -0.0672559598533002 -0.0804918176209383 0.153977957433405 -0.126209876924885 0.0564979507125908 -0.047375309275715 0.0346576367114115 -0.4030484596768 -0.172493153490344 -0.0666072543415606 0.309386754283443 -0.379893610394192 0.0577164698843537 0.109370371121804 -0.404872685067512 -0.140004114973377 -0.159658111045963 -0.146479480765741 -0.0487974763954616 -0.329011144866399 0.183518356701108 0.412970466059118 0.0957545957751193 -0.0777786039525442 -0.363575240282783 -0.0702533335630215 -0.232712560033963 0.325707359311547 -0.201446166217468 -0.13388454567882 0.252326441527348 0.450648273962619 -0.379630063315719
