"pathways" "Pt1" "Pt2" "Pt4" "Pt5" "Pt6" "Pt7" "Pt8" "Pt9" "Pt10" "Pt12" "Pt13" "Pt14" "Pt15" "Pt19" "Pt20" "Pt22" "Pt23" "Pt25" "Pt27A" "Pt27B" "Pt28" "Pt29" "Pt31" "Pt32" "Pt35" "Pt37" "Pt38"
"1" "REACTOME_2_LTR_CIRCLE_FORMATION" -0.0393968189476946 -0.672607351674096 0.512435195970054 0.451318259042328 -0.250233682644607 -0.0958261114425334 -0.114963231677626 -0.239401811587794 0.579376615305403 -0.310850802432888 -0.0438081215936567 0.587710139643007 -0.19536089594984 -0.516113652788936 -0.665240796782052 -0.250642592016014 -0.275989582387073 0.0286081389119356 0.159157142884869 -0.276504531006756 -0.280320260338601 -0.488821222649702 -0.231003732313771 -0.0334697062268684 0.447810491972343 -0.154313418160526 0.363515683317503
"2" "REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS" 0.0692903297523806 -0.378033111369726 -0.35425431488762 -0.483658360659227 -0.428470008207242 0.201983636881282 -0.0579567134230991 -0.0444589558588092 0.421472817244726 0.0514979550645823 0.411291410335712 -0.307705226187406 -0.396865978482753 0.4185333798685 -0.344961437628632 0.115926611631187 0.333799275666325 0.320711700857022 -0.303162536577857 -0.301631289203305 -0.258295356466488 -0.265802631976907 0.477624979790024 0.33584267968297 0.243220012230307 -0.080741915821994 -0.185809542610088
"3" "REACTOME_ABACAVIR_METABOLISM" 0.260828890043031 0.696269118557391 -0.182371356176744 0.345489564712405 -0.0709200798576379 -0.426121188020975 -0.0634514809896816 0.0317832198743911 -0.584873242450883 0.182599034462853 -0.608004547054669 -0.0998312673272075 -0.0976556416224398 -0.544507326582332 0.0606983038866948 -0.422505619937755 -0.675997334647828 0.0408688296752366 0.430338015940028 0.292661760485896 0.23577701250793 -0.424506979841363 -0.0547754574186001 0.0757227477675557 0.0359233867382821 0.129494085666756 0.110997145784167
"4" "REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT" 0.239602458642529 0.745699291113307 -0.295442554741235 -0.206734726439425 0.392038884949458 0.15081579880462 0.024713784482982 -0.237509634919236 -0.0869949606578915 -0.266822705672102 -0.141853063389761 0.305813535400854 0.54133300474679 -0.0476527274335985 -0.03072230572019 0.568753858899967 -0.0717874955065202 0.0432322517902141 -0.573235311003578 -0.605926281312083 0.200591410013007 0.486832511929814 0.165767836619124 0.0757656191386406 0.213759269518695 -0.459884865869143 0.585611119315074
"5" "REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM" 0.27153970649598 0.709909652980577 -0.219951225560655 0.13401423707833 0.273025113137893 -0.0720292774373242 0.00648366838037986 -0.0984251174318345 -0.454024681638822 -0.0386567948017324 -0.439201011893342 0.100820588597828 0.295788860167011 -0.334481146193027 0.0470497205381974 0.111915913431639 -0.347894427270091 -0.00946584130547234 -0.16594866454349 -0.21756513665932 0.226824907703665 0.0913008794512912 0.0527894939819534 0.110403678648831 0.119469406892513 -0.0827201337404194 0.446128768140363
"6" "REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT" -0.455987688688809 -0.1897287562224 -0.299548958794195 -0.197417759972967 -0.205132868870999 -0.235844389275084 -0.299027908243363 -0.215855221045718 -0.436316168683854 -0.411620907828397 -0.292189714177477 -0.187577165978627 -0.293507960984266 -0.282449539555374 -0.191269649471334 -0.210568640854534 -0.337958727423347 -0.309787309296378 -0.409230281411694 -0.409752854294242 0.0955299104479713 -0.32156085397171 -0.0402914225944919 -0.477960780663535 0.0667552645126934 -0.155420153875568 -0.353116521848998
"7" "REACTOME_ABC_TRANSPORTER_DISORDERS" -0.517670104312109 -0.20213001652641 -0.35373010857552 -0.237271497593937 -0.21198600311452 -0.207204967795371 -0.33950570894589 -0.068158086987874 -0.445878352638502 -0.40381597498739 -0.333409293456748 -0.202283664868776 -0.298435718617754 -0.310336144884825 -0.230003535409596 -0.265652175880597 -0.359926374792494 -0.33118903837888 -0.50376615225583 -0.560799788706698 0.120961203254979 -0.36580905859468 0.0824497044376684 -0.49477531660888 0.142169041233451 -0.147206974904019 -0.395553002885635
"8" "REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS" 0.120860870271478 0.627925860005756 -0.281329627855039 -0.133716322790533 -0.251412802308674 0.170179894688346 -0.0144240426683454 0.154606500091816 -0.115597504524936 -0.343199066962562 0.384291379784175 -0.135610394705466 -0.138053747398515 -0.0673849492449317 0.292301915065313 0.0755315136235491 -0.210141748487991 -0.268959275235837 0.555320822523642 0.481710625768222 0.171238271808207 0.214062587861813 -0.387208810154526 -0.185889278669254 -0.0547449675032358 -0.0537798873199339 -0.198509195183405
"9" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS" -0.0904043076373292 -0.0916082461430804 0.0912767741720052 0.283836517161284 -0.110709919751285 -0.209843836108346 -0.255406838978428 -0.396332819725338 -0.274525926980703 -0.100924262219404 -0.512679187456434 0.265438288153358 0.0698777340835083 -0.124409469552837 -0.0222181140187869 -0.103000996894352 -0.07038884009851 0.149912153732718 0.0401400456524906 0.0462983750229311 0.264232354377949 0.00113075970479057 -0.0883755598067051 -0.527654496811786 0.213929322605716 -0.290589761342883 0.0298398515101212
"10" "REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS" -0.21284921852374 -0.557805623150291 0.0747797513665227 -0.0879274923779763 -0.257235755063958 0.23418083942336 -0.470947584295254 -0.199030224361604 -0.365648636001534 -0.250436945381411 -0.446017443960363 -0.31926955213145 0.0470932528603451 0.203535026689099 -0.499857180947502 0.194771934850414 0.265174698535001 -0.087748017172912 0.278218976683198 0.214305985315978 -0.362293943053636 0.279601471553093 -0.232199307289194 -0.170035705502724 0.286395098624679 -0.0484242816867976 -0.00134097734831312
"11" "REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT" -0.557356390561089 -0.566610392538659 0.114811103289743 -0.011192996697573 -0.43211167145956 0.0666678098157586 -0.144084724373346 -0.174885719919983 -0.48926779192407 -0.538719142585205 -0.551760217905349 0.029505917323161 -0.212003411677938 0.15715901347908 -0.400245406719168 -0.611511989250787 -0.571044168916666 0.0996173096783029 -0.34801694049628 -0.388506033965893 -0.026687099621296 -0.559663268749953 0.0602018356172074 -0.145604264899696 0.22977226023184 0.0327319365820652 -0.395434147703143
"12" "REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS" -0.0140543394539262 -0.140570181812527 0.0683939624824762 0.384481936223221 0.1630460043932 0.0678384698971034 0.344507007284076 0.039747269746235 -0.258101355546661 -0.309231116151071 -0.101155534462594 -0.0634220193347239 0.100423221893361 0.532700131809097 -0.398227821140408 -0.391514579746139 0.259275637907436 0.250519612612237 -0.241283275073607 -0.207989193005853 0.251645845731519 -0.200640475631912 0.562951481798966 0.451310685435521 0.290627345704035 0.336581654425949 0.31183938925129
"13" "REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS" -0.573352848391823 -0.338534244285531 -0.603864745695653 -0.475751368468058 -0.330713065277986 0.0908007638244434 -0.177620970198901 -0.0859504322094734 0.195968841042399 -0.0925429184258355 -0.267976769621686 0.364314204339716 0.345270178083519 0.117363628326305 0.577392437186291 0.02772425577518 0.691479280593914 0.219003093586778 0.0945419356567818 -0.105207364987464 -0.0355802648913556 0.0458788800968663 0.12780319093087 0.583601273194882 -0.508966716900193 0.180494261439314 -0.405003028177713
